ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.199650000000000460e+01,1.200040000000000049e+02,0.000000000000000000e+00
3.199650063768376285e+01,1.200039992517129690e+02,0.000000000000000000e+00
3.199650127536751398e+01,1.200039985034259473e+02,0.000000000000000000e+00
3.199650191305127223e+01,1.200039977551389114e+02,0.000000000000000000e+00
3.199650255073503047e+01,1.200039970068518471e+02,0.000000000000000000e+00
3.199650318841878516e+01,1.200039962585648112e+02,0.000000000000000000e+00
3.199650382610254340e+01,1.200039955102777753e+02,0.000000000000000000e+00
3.199650446378629454e+01,1.200039947619907110e+02,0.000000000000000000e+00
3.199650510147005278e+01,1.200039940137036467e+02,0.000000000000000000e+00
3.199650573915380747e+01,1.200039932654165824e+02,0.000000000000000000e+00
3.199650637683756571e+01,1.200039925171294897e+02,0.000000000000000000e+00
3.199650701452132395e+01,1.200039917688423969e+02,0.000000000000000000e+00
3.199650765220507509e+01,1.200039910205553326e+02,0.000000000000000000e+00
3.199650828988883688e+01,1.200039902722682399e+02,0.000000000000000000e+00
3.199650892757258802e+01,1.200039895239811329e+02,0.000000000000000000e+00
3.199650956525634626e+01,1.200039887756940402e+02,0.000000000000000000e+00
3.199651020294009740e+01,1.200039880274069191e+02,0.000000000000000000e+00
3.199651084062385920e+01,1.200039872791198405e+02,0.000000000000000000e+00
3.199651147830761033e+01,1.200039865308327194e+02,0.000000000000000000e+00
3.199651211599136857e+01,1.200039857825455840e+02,0.000000000000000000e+00
3.199651275367511971e+01,1.200039850342584629e+02,0.000000000000000000e+00
3.199651339135887440e+01,1.200039842859713275e+02,0.000000000000000000e+00
3.199651402904263264e+01,1.200039835376841779e+02,0.000000000000000000e+00
3.199651466672638378e+01,1.200039827893970426e+02,0.000000000000000000e+00
3.199651530441014202e+01,1.200039820411099072e+02,0.000000000000000000e+00
3.199651594209389671e+01,1.200039812928227576e+02,0.000000000000000000e+00
3.199651657977765495e+01,1.200039805445355938e+02,0.000000000000000000e+00
3.199651721746140609e+01,1.200039797962484300e+02,0.000000000000000000e+00
3.199651785514516078e+01,1.200039790479612662e+02,0.000000000000000000e+00
3.199651849282891902e+01,1.200039782996741025e+02,0.000000000000000000e+00
3.199651913051267016e+01,1.200039775513869102e+02,0.000000000000000000e+00
3.199651976819642130e+01,1.200039768030997323e+02,0.000000000000000000e+00
3.199652040588018309e+01,1.200039760548125543e+02,0.000000000000000000e+00
3.199652104356393423e+01,1.200039753065253620e+02,0.000000000000000000e+00
3.199652168124768536e+01,1.200039745582381414e+02,0.000000000000000000e+00
3.199652231893144361e+01,1.200039738099509492e+02,0.000000000000000000e+00
3.199652295661519830e+01,1.200039730616637286e+02,0.000000000000000000e+00
3.199652359429894943e+01,1.200039723133765079e+02,0.000000000000000000e+00
3.199652423198270768e+01,1.200039715650893015e+02,0.000000000000000000e+00
3.199652486966646237e+01,1.200039708168020809e+02,0.000000000000000000e+00
3.199652550735021350e+01,1.200039700685148318e+02,0.000000000000000000e+00
3.199652614503396464e+01,1.200039693202276254e+02,0.000000000000000000e+00
3.199652678271772288e+01,1.200039685719403764e+02,0.000000000000000000e+00
3.199652742040147757e+01,1.200039678236531415e+02,0.000000000000000000e+00
3.199652805808522871e+01,1.200039670753658640e+02,0.000000000000000000e+00
3.199652869576898340e+01,1.200039663270786292e+02,0.000000000000000000e+00
3.199652933345273453e+01,1.200039655787913517e+02,0.000000000000000000e+00
3.199652997113649278e+01,1.200039648305040885e+02,0.000000000000000000e+00
3.199653060882024391e+01,1.200039640822168252e+02,0.000000000000000000e+00
3.199653124650399860e+01,1.200039633339295477e+02,0.000000000000000000e+00
3.199653188418774974e+01,1.200039625856422560e+02,0.000000000000000000e+00
3.199653252187150088e+01,1.200039618373549644e+02,0.000000000000000000e+00
3.199653315955525557e+01,1.200039610890676727e+02,0.000000000000000000e+00
3.199653379723900670e+01,1.200039603407803810e+02,0.000000000000000000e+00
3.199653443492276494e+01,1.200039595924930893e+02,0.000000000000000000e+00
3.199653507260651963e+01,1.200039588442057692e+02,0.000000000000000000e+00
3.199653571029027077e+01,1.200039580959184491e+02,0.000000000000000000e+00
3.199653634797402191e+01,1.200039573476311574e+02,0.000000000000000000e+00
3.199653698565777660e+01,1.200039565993438089e+02,0.000000000000000000e+00
3.199653762334152773e+01,1.200039558510564888e+02,0.000000000000000000e+00
3.199653826102527887e+01,1.200039551027691545e+02,0.000000000000000000e+00
3.199653889870903356e+01,1.200039543544818343e+02,0.000000000000000000e+00
3.199653953639278470e+01,1.200039536061944858e+02,0.000000000000000000e+00
3.199654017407653583e+01,1.200039528579071089e+02,0.000000000000000000e+00
3.199654081176029052e+01,1.200039521096197745e+02,0.000000000000000000e+00
3.199654144944404166e+01,1.200039513613323976e+02,0.000000000000000000e+00
3.199654208712779280e+01,1.200039506130450633e+02,0.000000000000000000e+00
3.199654272481154749e+01,1.200039498647576863e+02,0.000000000000000000e+00
3.199654336249529862e+01,1.200039491164702952e+02,0.000000000000000000e+00
3.199654400017905331e+01,1.200039483681829182e+02,0.000000000000000000e+00
3.199654463786280445e+01,1.200039476198955271e+02,0.000000000000000000e+00
3.199654527554655559e+01,1.200039468716081643e+02,0.000000000000000000e+00
3.199654591323031028e+01,1.200039461233207589e+02,0.000000000000000000e+00
3.199654655091406141e+01,1.200039453750333394e+02,0.000000000000000000e+00
3.199654718859781255e+01,1.200039446267459482e+02,0.000000000000000000e+00
3.199654782628156724e+01,1.200039438784585286e+02,0.000000000000000000e+00
3.199654846396531838e+01,1.200039431301711090e+02,0.000000000000000000e+00
3.199654910164906596e+01,1.200039423818836894e+02,0.000000000000000000e+00
3.199654973933281710e+01,1.200039416335962699e+02,0.000000000000000000e+00
3.199655037701656823e+01,1.200039408853088503e+02,0.000000000000000000e+00
3.199655101470032292e+01,1.200039401370214023e+02,0.000000000000000000e+00
3.199655165238407406e+01,1.200039393887339543e+02,0.000000000000000000e+00
3.199655229006782520e+01,1.200039386404465063e+02,0.000000000000000000e+00
3.199655292775157278e+01,1.200039378921590583e+02,0.000000000000000000e+00
3.199655356543532392e+01,1.200039371438715818e+02,0.000000000000000000e+00
3.199655420311907861e+01,1.200039363955841480e+02,0.000000000000000000e+00
3.199655484080282974e+01,1.200039356472966716e+02,0.000000000000000000e+00
3.199655547848658088e+01,1.200039348990091952e+02,0.000000000000000000e+00
3.199655611617032847e+01,1.200039341507217046e+02,0.000000000000000000e+00
3.199655675385407960e+01,1.200039334024342281e+02,0.000000000000000000e+00
3.199655739153783429e+01,1.200039326541467375e+02,0.000000000000000000e+00
3.199655802922158543e+01,1.200039319058592326e+02,0.000000000000000000e+00
3.199655866690532946e+01,1.200039311575717420e+02,0.000000000000000000e+00
3.199655930458908415e+01,1.200039304092842372e+02,0.000000000000000000e+00
3.199655994227283529e+01,1.200039296609967465e+02,0.000000000000000000e+00
3.199656057995658998e+01,1.200039289127092275e+02,0.000000000000000000e+00
3.199656121764033401e+01,1.200039281644217084e+02,0.000000000000000000e+00
3.199656185532408514e+01,1.200039274161341751e+02,0.000000000000000000e+00
3.199656249300783983e+01,1.200039266678466561e+02,0.000000000000000000e+00
3.199656313069158386e+01,1.200039259195591086e+02,0.000000000000000000e+00
3.199656376837533855e+01,1.200039251712715611e+02,0.000000000000000000e+00
3.199656440605908969e+01,1.200039244229840136e+02,0.000000000000000000e+00
3.199656504390975797e+01,1.200039236748923912e+02,0.000000000000000000e+00
3.199656568207747043e+01,1.200039229271731642e+02,0.000000000000000000e+00
3.199656632069709516e+01,1.200039221799854232e+02,0.000000000000000000e+00
3.199656695988974064e+01,1.200039214334726552e+02,0.000000000000000000e+00
3.199656759976405596e+01,1.200039206877644631e+02,0.000000000000000000e+00
3.199656824041742809e+01,1.200039199429778876e+02,0.000000000000000000e+00
3.199656888193708681e+01,1.200039191992187710e+02,0.000000000000000000e+00
3.199656952440108526e+01,1.200039184565829089e+02,0.000000000000000000e+00
3.199657016787920583e+01,1.200039177151570726e+02,0.000000000000000000e+00
3.199657081243377021e+01,1.200039169750198340e+02,0.000000000000000000e+00
3.199657145812037840e+01,1.200039162362425031e+02,0.000000000000000000e+00
3.199657210498856585e+01,1.200039154988898531e+02,0.000000000000000000e+00
3.199657275308242532e+01,1.200039147630206884e+02,0.000000000000000000e+00
3.199657340244112902e+01,1.200039140286885697e+02,0.000000000000000000e+00
3.199657405309943314e+01,1.200039132959421551e+02,0.000000000000000000e+00
3.199657470508810775e+01,1.200039125648258960e+02,0.000000000000000000e+00
3.199657535843434886e+01,1.200039118353802792e+02,0.000000000000000000e+00
3.199657601316211242e+01,1.200039111076423239e+02,0.000000000000000000e+00
3.199657666929248023e+01,1.200039103816459090e+02,0.000000000000000000e+00
3.199657732684390865e+01,1.200039096574219997e+02,0.000000000000000000e+00
3.199657798583251989e+01,1.200039089349991031e+02,0.000000000000000000e+00
3.199657864627231874e+01,1.200039082144032960e+02,0.000000000000000000e+00
3.199657930817542351e+01,1.200039074956586234e+02,0.000000000000000000e+00
3.199657997155223654e+01,1.200039067787872824e+02,0.000000000000000000e+00
3.199658063641163253e+01,1.200039060638096515e+02,0.000000000000000000e+00
3.199658130276110768e+01,1.200039053507447164e+02,0.000000000000000000e+00
3.199658197060691478e+01,1.200039046396099565e+02,0.000000000000000000e+00
3.199658263995419460e+01,1.200039039304216857e+02,0.000000000000000000e+00
3.199658331080708606e+01,1.200039032231950671e+02,0.000000000000000000e+00
3.199658398316882568e+01,1.200039025179441978e+02,0.000000000000000000e+00
